"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","agent_model","disable_wandb","early_stop_max_years","entity","last_turn_year","log_level","map_name","max_message_rounds","max_years","model","no_save","output_folder","project","save","seed","summarizer_model","temperature","top_p","messages/num_avg","messages/num_total","meta/year_fractional","model/completion_time_sec_avg","orders/num_total","orders/num_valid","orders/valid_ratio_avg_avg","orders/valid_ratio_avg_avg/phase_A","orders/valid_ratio_avg_avg/phase_M","orders/valid_ratio_avg_avg_phase_A","orders/valid_ratio_avg_avg_phase_M","orders/valid_ratio_avg_avg_phase_R","orders/valid_ratio_total_avg","score/centers/AUS","score/centers/ENG","score/centers/FRA","score/centers/GER","score/centers/ITA","score/centers/RUS","score/centers/TUR","score/units/AUS","score/units/ENG","score/units/FRA","score/units/GER","score/units/ITA","score/units/RUS","score/units/TUR","score/welfare/AUS","score/welfare/ENG","score/welfare/FRA","score/welfare/GER","score/welfare/ITA","score/welfare/RUS","score/welfare/TUR","step","tokens/completion_tokens_avg","tokens/completion_tokens_max","tokens/completion_tokens_median","tokens/completion_tokens_min","tokens/prompt_tokens_avg","tokens/prompt_tokens_max","tokens/prompt_tokens_median","tokens/prompt_tokens_min","tokens/total_tokens_avg","tokens/total_tokens_max","tokens/total_tokens_median","tokens/total_tokens_min","usage/completion_tokens","usage/elapsed_time","usage/prompt_tokens","usage/total_tokens","welfare/max","welfare/mean","welfare/median","welfare/min","welfare/total"
"dark-sweep-32","u55re93o","finished","-","gabrielmukobi","","2023-08-01T17:02:41.000Z","226","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","31","","0.3","0.9","1","7","10.9","0.3","26","26","1","","","1","1","","1","5","3","4","6","3","5","4","1","2","2","5","3","3","1","22","10","24","7","8","27","18","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","27","16.571428571428573","18","7","116"
"summer-sweep-31","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T17:01:12.000Z","227","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","30","","0.3","0.9","1","7","10.9","0.3","22","22","1","","","1","1","","1","7","3","3","6","3","5","4","1","3","1","2","1","3","1","30","11","10","34","11","27","21","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","34","20.571428571428573","21","10","144"
"sweet-sweep-30","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T17:00:50.000Z","224","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","29","","0.3","0.9","1","7","10.9","0.3","29","29","1","","","1","1","","1","3","4","4","3","5","4","4","0","1","4","3","5","2","1","14","10","11","11","16","20","19","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","20","14.428571428571429","14","10","101"
"rare-sweep-29","f2rhp4uh","finished","-","gabrielmukobi","","2023-08-01T17:00:37.000Z","227","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","28","","0.3","0.9","1","7","10.9","0.3","26","26","1","","","1","1","","1","1","3","4","5","5","6","4","1","0","4","4","4","3","1","7","15","11","29","14","21","13","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","29","15.714285714285714","14","7","110"
"efficient-sweep-28","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T16:56:26.000Z","275","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","27","","0.3","0.9","1","7","10.9","0.3","23","23","1","","","1","1","","1","5","5","6","1","3","5","4","2","2","1","0","2","4","1","27","16","30","10","13","23","13","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","30","18.857142857142858","16","10","132"
"blooming-sweep-27","u55re93o","finished","-","gabrielmukobi","","2023-08-01T16:56:21.000Z","371","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","26","","0.3","0.9","1","7","10.9","0.3","24","24","1","","","1","1","","1","5","3","5","5","2","6","5","1","1","4","5","1","2","2","35","11","24","15","11","37","15","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","37","21.142857142857142","15","11","148"
"rural-sweep-26","f2rhp4uh","finished","-","gabrielmukobi","","2023-08-01T16:55:47.000Z","280","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","25","","0.3","0.9","1","7","10.9","0.3","27","27","1","","","1","1","","1","4","3","3","5","3","4","5","1","1","2","2","1","2","1","17","13","18","23","14","20","19","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","23","17.714285714285715","18","13","124"
"apricot-sweep-25","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T16:55:30.000Z","310","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","24","","0.3","0.9","1","7","10.9","0.3","25","25","1","","","1","1","","1","3","3","5","3","3","9","3","0","3","3","2","1","0","1","15","14","17","10","10","42","19","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","42","18.142857142857142","15","10","127"
"wandering-sweep-23","u55re93o","finished","-","gabrielmukobi","","2023-08-01T16:51:49.000Z","265","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","22","","0.3","0.9","1","7","10.9","0.3","28","28","1","","","1","1","","1","6","4","5","4","2","4","3","3","3","4","2","2","1","3","21","20","18","19","6","23","11","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","23","16.857142857142858","19","6","118"
"amber-sweep-24","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T16:51:49.000Z","267","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","23","","0.3","0.9","1","7","10.9","0.3","27","27","1","","","1","1","1","1","4","3","3","5","3","5","4","2","1","2","4","1","2","2","19","13","9","19","18","19","20","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","20","16.714285714285715","19","9","117"
"northern-sweep-22","f2rhp4uh","finished","-","gabrielmukobi","","2023-08-01T16:51:22.000Z","257","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","21","","0.3","0.9","1","7","10.9","0.3","29","29","1","","","1","1","","1","2","3","5","5","4","4","6","2","3","4","0","1","2","4","10","12","9","19","21","24","15","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","24","15.714285714285714","15","9","110"
"dutiful-sweep-21","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T16:50:58.000Z","266","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","20","","0.3","0.9","1","7","10.9","0.3","27","27","1","","","1","1","","1","6","3","5","4","2","5","4","1","3","3","3","1","3","4","27","9","16","13","10","19","19","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","27","16.142857142857142","16","9","113"
"restful-sweep-20","u55re93o","finished","-","gabrielmukobi","","2023-08-01T16:46:57.000Z","283","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","19","","0.3","0.9","1","7","10.9","0.3","26","26","1","","","1","1","","1","4","3","6","7","2","3","5","1","2","5","3","0","3","3","22","18","10","41","14","10","7","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","41","17.428571428571427","14","7","122"
